,Model,Budget,Dataset,Version,test_mse,test_mae
363,vit_15M,32,W1_16,3,0.7585,0.6788
364,vit_15M,32,W1_16,4,0.2658,0.3895
365,vit_15M,512,W1_16,0,0.0287,0.1349
366,vit_15M,512,W1_16,1,0.0328,0.1451
367,vit_15M,512,W1_16,2,0.0324,0.1446
368,vit_15M,512,W1_16,3,0.0293,0.1348
369,vit_15M,512,W1_16,4,0.0292,0.1341
370,vit_15M,64,W1_16,0,0.2587,0.4093
371,vit_15M,64,W1_16,1,0.1747,0.3212
372,vit_15M,64,W1_16,2,0.2795,0.4063
373,vit_15M,64,W1_16,3,0.1718,0.3333
374,vit_15M,64,W1_16,4,0.2779,0.4176
375,vit_1M,128,W1_16,0,0.2463,0.4064
376,vit_1M,128,W1_16,1,0.2002,0.3524
377,vit_1M,128,W1_16,2,0.1773,0.3434
378,vit_1M,128,W1_16,3,0.2975,0.4592
379,vit_1M,128,W1_16,4,0.3204,0.4386
380,vit_1M,256,W1_16,0,0.1309,0.2913
381,vit_1M,256,W1_16,1,0.084,0.227
382,vit_1M,256,W1_16,2,0.1113,0.2664
383,vit_1M,256,W1_16,3,0.0672,0.2061
384,vit_1M,256,W1_16,4,0.111,0.2691
385,vit_1M,32,W1_16,0,0.6344,0.6698
386,vit_1M,32,W1_16,1,1.7505,1.0727
387,vit_1M,32,W1_16,2,0.6262,0.6395
388,vit_1M,32,W1_16,3,0.6759,0.6427
389,vit_1M,32,W1_16,4,0.6249,0.5647
390,vit_1M,512,W1_16,0,0.0525,0.1847
391,vit_1M,512,W1_16,1,0.0628,0.2033
392,vit_1M,512,W1_16,2,0.0442,0.1653
393,vit_1M,512,W1_16,3,0.0725,0.2219
394,vit_1M,512,W1_16,4,0.0545,0.1867
395,vit_1M,64,W1_16,0,0.2957,0.4591
396,vit_1M,64,W1_16,1,0.838,0.7202
397,vit_1M,64,W1_16,2,0.5589,0.6131
398,vit_1M,64,W1_16,3,0.3174,0.4298
399,vit_1M,64,W1_16,4,0.6717,0.6636
400,vit_500K,128,W1_16,0,0.1045,0.2648
401,vit_500K,128,W1_16,1,0.151,0.3264
402,vit_500K,128,W1_16,2,0.1358,0.3131
403,vit_500K,128,W1_16,3,0.1141,0.2869
404,vit_500K,128,W1_16,4,0.075,0.2237
405,vit_500K,256,W1_16,0,0.0425,0.1619
406,vit_500K,256,W1_16,1,0.0442,0.1668
407,vit_500K,256,W1_16,2,0.0398,0.1555
408,vit_500K,256,W1_16,3,0.0532,0.1906
409,vit_500K,256,W1_16,4,0.0752,0.2176
410,vit_500K,32,W1_16,0,0.3295,0.4745
411,vit_500K,32,W1_16,1,0.4308,0.5377
412,vit_500K,32,W1_16,2,0.6248,0.6579
413,vit_500K,32,W1_16,3,0.3572,0.4683
414,vit_500K,32,W1_16,4,0.5001,0.5867
415,vit_500K,512,W1_16,0,0.0386,0.156
416,vit_500K,512,W1_16,1,0.0425,0.1652
417,vit_500K,512,W1_16,2,0.0355,0.1481
418,vit_500K,512,W1_16,3,0.0396,0.1565
419,vit_500K,512,W1_16,4,0.0394,0.1567
420,vit_500K,64,W1_16,0,0.3464,0.4888
421,vit_500K,64,W1_16,1,0.2908,0.4656
422,vit_500K,64,W1_16,2,0.3023,0.461
423,vit_500K,64,W1_16,3,0.3565,0.503
424,vit_500K,64,W1_16,4,0.3559,0.4929
425,vit_5M,128,W1_16,0,0.0803,0.2221
426,vit_5M,128,W1_16,1,0.1002,0.2536
427,vit_5M,128,W1_16,2,0.1145,0.2774
428,vit_5M,128,W1_16,3,0.1218,0.2853
429,vit_5M,128,W1_16,4,0.0977,0.2522
430,vit_5M,256,W1_16,0,0.0486,0.1809
431,vit_5M,256,W1_16,1,0.0419,0.164
432,vit_5M,256,W1_16,2,0.0508,0.1791
433,vit_5M,256,W1_16,3,0.0514,0.1863
434,vit_5M,256,W1_16,4,0.0451,0.1703
435,vit_5M,32,W1_16,0,0.5982,0.6108
436,vit_5M,32,W1_16,1,0.5994,0.6135
437,vit_5M,32,W1_16,2,0.5239,0.5815
438,vit_5M,32,W1_16,3,0.2861,0.4238
439,vit_5M,32,W1_16,4,0.4209,0.4997
440,vit_5M,512,W1_16,0,0.0269,0.1308
441,vit_5M,512,W1_16,1,0.0302,0.1405
442,vit_5M,512,W1_16,2,0.0279,0.1331
443,vit_5M,512,W1_16,3,0.0284,0.1339
444,vit_5M,512,W1_16,4,0.0258,0.1293
445,vit_5M,64,W1_16,0,0.1561,0.3223
446,vit_5M,64,W1_16,1,0.31,0.43
447,vit_5M,64,W1_16,2,0.3347,0.4564
448,vit_5M,64,W1_16,3,0.2952,0.43
449,vit_5M,64,W1_16,4,0.3504,0.482
450,conv_100K,128,W2_10,0,0.0212,0.1272
451,conv_100K,128,W2_10,1,0.0396,0.1844
452,conv_100K,128,W2_10,2,0.0127,0.0972
453,conv_100K,128,W2_10,3,0.0054,0.0561
454,conv_100K,128,W2_10,4,0.0086,0.0753
455,conv_100K,256,W2_10,0,0.0135,0.1019
456,conv_100K,256,W2_10,1,0.0246,0.1434
457,conv_100K,256,W2_10,2,0.0281,0.1542
458,conv_100K,256,W2_10,3,0.0118,0.0921
459,conv_100K,256,W2_10,4,0.0138,0.1013
460,conv_100K,32,W2_10,0,0.0134,0.1001
461,conv_100K,32,W2_10,1,0.0412,0.1904
462,conv_100K,32,W2_10,2,0.0552,0.2234
